SwitchSS/RN	ShearMod	PoissonRatio	R_Density	Crit_TooClose	TooCloseNormal_Multiplier	Minimum_NS
1.0	3.2038e10	0.25	2670.0	1.05	0.6	2.0e6
Ctr_X	Ctr_Y	Ctr_Z	St_L	Dip_L	StAng	DipAng	LR/RN	a	b	Dc	Theta_i	V_i	Fric_i	Sig0	SigGrad	V_Const	MaxLeng
0.0	-24000.0	10000.0	12000.0	12000.0	90.0	90.0	1.0	0.004	0.03	0.13	1.3e8	0.03	0.6	2.5e7	0.0	0.0	4000.0
0.0	6000.0	10000.0	48000.0	12000.0	90.0	90.0	1.0	0.004	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	31500.0	10000.0	1000.0	16000.0	90.0	90.0	1.0	0.031000000000000003	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	-31500.0	10000.0	1000.0	16000.0	90.0	90.0	1.0	0.031000000000000003	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	0.0	2500.0	62000.0	1000.0	90.0	90.0	1.0	0.031000000000000003	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	0.0	17500.0	62000.0	1000.0	90.0	90.0	1.0	0.031000000000000003	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	30500.0	10000.0	1000.0	14000.0	90.0	90.0	1.0	0.013000000000000001	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	-30500.0	10000.0	1000.0	14000.0	90.0	90.0	1.0	0.013000000000000001	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	0.0	3500.0	60000.0	1000.0	90.0	90.0	1.0	0.013000000000000001	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	0.0	16500.0	60000.0	1000.0	90.0	90.0	1.0	0.013000000000000001	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	41000.0	9000.0	18000.0	18000.0	90.0	90.0	1.0	0.04	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	-41000.0	9000.0	18000.0	18000.0	90.0	90.0	1.0	0.04	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	0.0	29000.0	100000.0	22000.0	90.0	90.0	1.0	0.04	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	0.0	1000.0	64000.0	2000.0	90.0	90.0	1.0	0.04	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	0.0	4000.0
0.0	525000.0	20000.0	950000.0	40000.0	90.0	90.0	1.0	0.04	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	1.0e-9	1.0e10
0.0	-525000.0	20000.0	950000.0	40000.0	90.0	90.0	1.0	0.04	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	1.0e-9	1.0e10
0.0	0.0	520000.0	2.0e6	960000.0	90.0	90.0	1.0	0.04	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	1.0e-9	1.0e10
20000.0	0.0	500000.0	2.0e6	1.0e6	90.0	90.0	-1.0	0.04	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	1.0e-9	1.0e10
-20000.0	0.0	500000.0	2.0e6	1.0e6	90.0	90.0	-1.0	0.04	0.03	0.14	1.4e8	1.0e-9	0.6	2.5e7	0.0	1.0e-9	1.0e10
